[2025-07-27 01:38:23] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51671 | SERVER | ID:42134950
[2025-07-27 01:40:09] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:88487279
[2025-07-27 01:40:09] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:73399201
[2025-07-27 01:41:09] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:63987952
[2025-07-27 01:41:09] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:13538093
[2025-07-27 01:41:09] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:53658168
[2025-07-27 01:41:09] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:73922169
[2025-07-27 01:41:12] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51687 | /127.0.0.1 | ID:06949829
[2025-07-27 01:41:12] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51687 | SERVER | ID:73100654
[2025-07-27 01:41:23] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:15443531
[2025-07-27 01:41:23] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:38878870
[2025-07-27 01:41:43] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:22115260
[2025-07-27 01:41:43] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:37947939
[2025-07-27 01:41:43] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:46558737
[2025-07-27 01:41:43] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:20252825
[2025-07-27 01:41:46] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51690 | /127.0.0.1 | ID:66108487
[2025-07-27 01:41:46] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51690 | SERVER | ID:31158394
[2025-07-27 01:44:55] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:52702886
[2025-07-27 01:44:55] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:78517172
[2025-07-27 01:44:57] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:18343314
[2025-07-27 01:44:57] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:34554342
[2025-07-27 01:44:57] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:13104481
[2025-07-27 01:44:57] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:37315297
[2025-07-27 01:45:00] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51693 | /127.0.0.1 | ID:60118599
[2025-07-27 01:45:00] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51693 | SERVER | ID:82804738
[2025-07-27 01:48:04] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:90521989
[2025-07-27 01:48:04] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:78509800
[2025-07-27 01:48:06] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:26662119
[2025-07-27 01:48:06] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:13429962
[2025-07-27 01:48:06] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:65551127
[2025-07-27 01:48:06] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:42490651
[2025-07-27 01:48:08] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51727 | /127.0.0.1 | ID:52070825
[2025-07-27 01:48:08] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51727 | SERVER | ID:95028445
[2025-07-27 01:48:27] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:35618652
[2025-07-27 01:48:27] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:14224911
