[2025-07-27 19:17:14] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:63274671
[2025-07-27 19:17:14] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Menu Principal con 4 opciones | CLIENT | ID:54539091
[2025-07-27 19:17:14] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:99694123
[2025-07-27 19:17:18] INFO | CLIENT | OPTION_SENT | Opción enviada: 3 | CLIENT | ID:48230176
[2025-07-27 19:17:18] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: UPLOAD_FILE | CLIENT | ID:05747751
[2025-07-27 19:17:18] INFO | CLIENT | UPLOAD_REQUEST | Iniciando proceso de subida de archivo | CLIENT | ID:11590113
[2025-07-27 19:17:18] INFO | CLIENT | FILES_LISTED | 4 archivos disponibles para subir | CLIENT | ID:23943880
[2025-07-27 19:17:23] INFO | CLIENT | FILE_SELECTED | Archivo seleccionado: NuevoArchico_20250727_191536.txt | CLIENT | ID:29159123
[2025-07-27 19:17:23] INFO | CLIENT | FILE_SENT | Archivo NuevoArchico_20250727_191536.txt enviado exitosamente | CLIENT | ID:47050340
[2025-07-27 19:17:23] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:15172791
[2025-07-27 19:17:23] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Archivo subido correctamente | CLIENT | ID:81118891
[2025-07-27 19:17:23] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: PAUSE | CLIENT | ID:50145854
[2025-07-27 19:17:23] INFO | CLIENT | PAUSE_RECEIVED | Pausa solicitada: continuar | CLIENT | ID:99274836
[2025-07-27 19:17:37] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:85030624
[2025-07-27 19:17:37] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Menu Principal con 4 opciones | CLIENT | ID:38211565
[2025-07-27 19:17:37] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:80269271
[2025-07-27 19:17:40] INFO | CLIENT | OPTION_SENT | Opción enviada: 3 | CLIENT | ID:08188695
[2025-07-27 19:17:40] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: UPLOAD_FILE | CLIENT | ID:89262305
[2025-07-27 19:17:40] INFO | CLIENT | UPLOAD_REQUEST | Iniciando proceso de subida de archivo | CLIENT | ID:42900152
[2025-07-27 19:17:40] INFO | CLIENT | FILES_LISTED | 4 archivos disponibles para subir | CLIENT | ID:99694572
[2025-07-27 19:17:42] INFO | CLIENT | FILE_SELECTED | Archivo seleccionado: NuevoArchico_20250727_191536.txt | CLIENT | ID:08182212
[2025-07-27 19:17:42] INFO | CLIENT | FILE_SENT | Archivo NuevoArchico_20250727_191536.txt enviado exitosamente | CLIENT | ID:25047905
[2025-07-27 19:17:42] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:16649146
[2025-07-27 19:17:42] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Archivo subido correctamente | CLIENT | ID:42974024
[2025-07-27 19:17:42] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: PAUSE | CLIENT | ID:63547555
[2025-07-27 19:17:42] INFO | CLIENT | PAUSE_RECEIVED | Pausa solicitada: continuar | CLIENT | ID:97136815
[2025-07-27 19:18:06] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:46579937
[2025-07-27 19:18:06] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Menu Principal con 4 opciones | CLIENT | ID:96648900
[2025-07-27 19:18:06] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:50853714
[2025-07-27 19:18:09] INFO | CLIENT | OPTION_SENT | Opción enviada: 4 | CLIENT | ID:64761500
[2025-07-27 19:18:09] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: EXIT | CLIENT | ID:05249088
[2025-07-27 19:18:09] INFO | CLIENT | EXIT_RECEIVED | Servidor cerró la conexión | CLIENT | ID:01973560
[2025-07-27 19:18:09] INFO | CLIENT | EXIT_REQUESTED | Servidor solicitó desconexión | CLIENT | ID:34064903
[2025-07-27 19:18:09] INFO | CLIENT | HANDLER_CLOSING | Cerrando ClientRequestHandler | CLIENT | ID:42231509
[2025-07-27 19:18:09] DEBUG | CLIENT | CONSOLE_CLOSED | Console cerrada | CLIENT | ID:54423711
[2025-07-27 19:18:09] DEBUG | CLIENT | REQUEST_MANAGER_CLOSED | RequestManager cerrado | CLIENT | ID:09551829
[2025-07-27 19:18:09] INFO | CLIENT | RESOURCES_CLOSED | Recursos cerrados correctamente | CLIENT | ID:90065748
